label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Head of the Development and Marketing Department,Web Engineer,General Manager,Chief Accountant,C C++ Software Engineer,MI and Group Reporting Analyst,Sales Assistant,Real Estate Asset Management Division Head,Secretary,Contract Administrator,Sales Manager,0.2987403151847362
Marketing Manager,Controller,Local Government Finance Technical Advisor,AutoCAD Designer,Architectural Translator,Reporting Unit Specialist,Contractor Intern,Packet Core Specialist,Senior Java Backend Developer,Treasurer,Procurement and Administrative Manager,0.037790544457913876
Product Manager,Recruitment Assistant,System Administrator,Administrative Executive Assistant,Secretary on Disability Issues,Designer,Assistant to Accountant,Quality Assurance and Sanitation Specialist,Software Developer,Methodology Group Senior Specialist,Technical Writer,0.6612554682970537
IT Specialist,Monitoring and Evaluation Specialist,IT Specialist Manager,Senior Circuit Design Engineer,Sales Manager Preseller,Programme Coordinator,"MAAC Forum ""Toward Greater Integrity in Higher Education""",Leading Specialist Accountant of Financial and AdministrativeManagement Department,Java Developer,Shop Manager,IT Reporting Team Leader,0.380119116639435
Receptionist,Environmental Policy and Integration Programme Manager,Quality Support Specialist,Graphic Designer,DSP Engineer,Procurement Specialist,Administrative Assistant,Project Assistant,"Senior Software Engineer, Technology Development Department",Programmer,Senior Credit Adviser (Yerevan),0.9897749433405365
Programmer,Senior Java Tester,Senior Developer Team Leader,Audit Assistant,Visual Merchandiser,Accountant,Designer,QA Engineer,"Coordinator, Local Governance Programme South Caucasus, North",Quality Assurance and Sanitation Specialist,UN Coordination Specialist,0.14067358878406155
National Expert on Vulnerability Assessment Methodology,Corporate Affairs Trainee,Treasury Products Sales Officer,QA Test Automation Engineer,Technical Support Specialist,Programmer,Database Administrator,Research and Development Engineer,Web Developer,Controller,Loan Officer,0.3609866652611606
English Language Interpreter Translator,Non Cash Operations Department Specialist,Graphic Designer,Head of Retail Sales Unit,Web Designer,Educational Information Fair,Medical Representative,Seller,Assistant Associate Professors (5 posts),Advanced PHP Senior Developer,Office Assistant Secretary,0.20091709271069413
Translator Interpreter,Administrative Officer,Java Developer,FronA_PHONENUMBERd Developer (ASP.NET MVC),IT Expert,"MAAC Forum ""Toward Greater Integrity in Higher Education""",Cashier,Martuni Branch Manager,WPF Developers,Ne2rk Administrator,C# .NET Backend Developer,0.13998840457492226
Field Administrator,Information Security Responsible,Creative Manager,Customer Support Specialist,AutoCAD Designer,PHP Developer,Chief Accountant,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.39598376640489114
National Expert on Study of Vulnerability in Armenia,Food Chemist,Internal Auditor,Executive Secretary,Assistant in Advertising Department,English Language Courses,Small and Medium Business Credit Officer,Integrated Community Development Specialist,Medical Representative,IT Specialist,Chemical Engineer,0.6456016444421019
Assistant Translator,Accountant,Mathematician,Contractor Intern,Entertainment & Sport Manager,Designer,Medical Representative in Nagorno Karabakh,Head of Credit Back Office,Tester Quality Assurance Engineer,AutoCAD Designer,General Manager,0.6127655088810415
Web Designer,Web Designer Developer,MIS Operator,System Administrator,Office Manager Secretary,International M1y Transfer Specialist,Renewable Energy Technical Expert,Mobile Medical Team Officers,Secretary for Reception,Sales & Marketing Specialist,.NET Developer,0.4845833552943657
IT Systems Administrator,Retail Service Specialist,"Contract Manager, Administrative and Logistics Service",Sales Manager Preseller,Java Engineer,Administrative Assistant,PR Communications Specialist,Deputy Franchise Director,Software Engineer Design to Silicon Division,Project Manager for Cross border Programs,Sales Executive,0.16275760290939756
Java Senior Developer Architect,Tourism Specialist,Research and Development Engineer,United Nations Volunteer Admin Programme Assistant,Project Coordinator for Promoting Equal Rights and Equal,English Language Specialist,Project Manager,Senior C++ Engineer,Import and Logistics Manager,Product Manager,AutoCAD Designer,0.9529331154798925
Senior Quality Assurance Engineer,Expert on Public Outreach,"Leading Specialist, Financial Market Operations Department",Radio and Electronic Engineer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Leading Specialist Accountant of Financial and AdministrativeManagement Department,Java Developer,0.5364992357560744
Java Developer,South Caucasus Design Monitoring and Evaluation (DME) Officer,Cashier,English Language Courses,iOS Developer,GUI Developer,Sales Consultant in Gyumri,Chemical Engineer,Head of Sales Promotion Service,SharePoint Business Intelligence Software Design Engineer,Short term Legal Experts for Drafting Amendments and Additions to,0.4517472197333052
Analyst Project Developer,IELTS Examiner,Store Manager Director,Web Designer,Learning Coach,Internet Assessor,Medical Representative,Project Assistant.,Food Safety Regulatory Reform Consultant,Chief Financial Officer,Junior Expert at NA Standing Committee on Economic Affairs,0.22410794286617824
C#.NET Senior Developer Architect,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,AutoCAD Designer,Designer,Java Developer,Java Developer,Credit and Debt Manager,0.6660517577610289
Quality Assurance Engineer,General Manager,Java or C++ backend developer for Lycos Communities,Cashier,Martuni Branch Manager,Medical Representative,Sales Engineer for Lighting Solutions,SharePoint Business Intelligence Software Design Engineer,Robotics Workshop Leader,Web Designer Developer,"MAAC Forum ""Toward Greater Integrity in Higher Education""",0.8020344700363675
IT Supplier,National Consultant on Energy and Energy Sector Regulatory,Merchandising Manager,"Accountant Methodologist, Accounting Department",Web Designer Developer,Bellman,QA Testing Engineer,Procurement Coordinator,Financial Specialist,"Post Harvest, Processing and Marketing Specialist",Office Manager,0.8933747957623992
Director of the Fund,Treasurer,"Deputy Chief of State Service of Food Safety, SNCOs and",Logistics Specialist,Loan Specialist,Support and Consulting Specialist,State Investments Management Trainer,Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,0.6954092657987667
Assistant to the Controller of Finance and Administration (CFA),Branch Manager,Finance Manager,Energy Specialist,Finance Officer,Contractor Intern,Head of HR,Store Manager,Local Government Finance Technical Advisor,Finance Associate,Civil Society Program Director,0.2282717545986402
English Language Courses,Project Coordinator for Promoting Equal Rights and Equal,Office Manager Secretary,Product Manager,Senior Manager of Support Services,Real Estate Asset Management Division Head,Web Designer Developer,Java Junior Developer,Software developer,"Category Manager (drugs, babies' products)",Junior Web Designer,0.852843514467928
Capital Logistician,IT Specialist,Support System Administrator,Java Developer,Mobile and Social Games Product Manager,Accountant,"MAAC Forum ""Toward Greater Integrity in Higher Education""",Customer Support Officer,Senior Manager of Support Services,Branch Manager,Finance Manager,0.2694355136246245
Capital Secretary Translator,Manager (Traffic Account),In house Attorney,Seller,Senior Software Engineer,Information Manager,Assistant to the Prime Minister of RA Macroeconomist,Sales Manager,Brand Manager,Non Cash Operations Department Specialist,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,0.5732883571390924
Programmer,Credit Analyst,Head of Nushikyan Print,Programme Office Manager,Developer 2,IT Specialist,Babysitter,Auditor,Accountant,Translator,Store Manager Director,0.19754387814262372
Resource Director,Branch Accountant,Visual Merchandiser,"Deputy Chief of State Service of Food Safety, SNCOs and",Senior Java Tester,Lawyer in Legal Department,PHP Web Software Developer,C++ Engineer,System Architectural Designer,PHP Developer,Senior Methodologist,0.23823327886997311
Part Time Accountant,Chief Accountant,Community Mobilization Officer,Finance Specialist,Database Developer,Financial Specialist,National Analytical Chemist (NAC),Ropeway General Director,Operations Manager,Intern for UN Resident Coordinators (UNRC) Unit,Salesperson Consultant,0.8325515205818795
Automated Test Engineer,Project Engineer,Import and Purchasing Manager,Billing Administrator,Marketing Coordinator,Senior C++ Engineer,Sales Person,Marketing Specialist,Head of New Products Development Division,Head of IT Security Department,Sponsorship Coordinator,0.23095978495757127
Pharmacist,Monitoring Project Officer,Secretary on Disability Issues,Designer,Public Relations Responsible,Web Designer,Assistant to Chief Accountant,Financial Analyst Budget Controller,Ne2rk Administrator,Senior Manager of Support Services,"Leading Specialist, Financial Market Operations Department",0.7760501765667001
Advertising Specialist,Programmer,Health Coordinator,Acquiring and Chargeback Clerk,Deputy to Chief Accountant,Software Project Manager,HR Generalist,OpenGL Software Developer,Software Developer,Executive Assistant,Ne2rk Administrator,0.469509302693301
Human Resource Manager,Program Assistant Receptionist,Field Officer,Chief Manager,Leading Specialist Accountant of Financial and AdministrativeManagement Department,Financial Specialist,Secretary,Contract Administrator,MA in Journalism,Creative Manager,Senior Software Developer,0.5417698835186845
Quality Specialist,Short Term Consultant (e Commerce),Tire Sales Specialist,Accountant,Project Officer Monitor,Alumni Coordinator,Executive Secretary,Technical System Documenter,Telecommunications Engineer,Management Information Systems (MIS) Officer,Accountant,0.020924471617561797
Proactive Sales Manager,Senior PHP Developer,Non Cash Operations Department Specialist,Business Analyst,Food Security Specialist,Sales and Marketing Manager,Medical Representative,"Senior Software Engineer, Layout Processing Department (YA)",Advanced PHP Senior Developer,Civil Society Program Director,Ne2rk Engineer,0.09750698360828546
Chief Engineer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Head of Cards Issuance and MainA_PHONENUMBERance Unit,Customs Clearance Specialist,"Chief Executive Officer of ""North South Road Corridor Investment",Web Site Developer,0.005639593105992727
Adminstrative Assistant,Head of Strategy and Program Development,Secretary,Project Coordinator for Promoting Equal Rights and Equal,Senior Manager of Support Services,Lawyer Economist,NSS IP Engineer,Risk Manager on Small Business Loans,Shop Manager,Finance Associate,Marketing Superviser,0.6205660675697043
Regional Technical Officer,Embedded Linux BSP Engineer,Senior Circuit Design Engineer,Sales Manager Preseller,Territory Executive,Financial Analyst,Programmer,Program Support Coordinator,Head of Production,Sales Consultant,National Project Officer,0.2524113213513941
Community Outreach Officers,Deputy Chief Accountant,Sales Manager,Shop Manager,Controller,Sales Administrator,Web Developer,Regional Sales Director,Tourism Manager,Journalist,Sales and Distribution Manager,0.8240657776840774
Finance and Adminstration Manager,Local Government Finance Technical Advisor,General Manager,Mid Level Software Developer,Controller,Senior Lawyer,Senior Accountant,AutoCAD Designer,IT Support Specialist,Contractor Intern,Senior Java Tester,0.6547198650714173
Accountant,Regional Retail Executive,Data Security Manager,Program Assistant Receptionist,Senior Java Backend Developer,Assistant Museum Registrar,QA (Quality Assurance) Engineer,Creative Manager,Moskovyan Branch Teller,Project Assistant,Head of Nushikyan Print,0.35455647499077636
Local Information Officer,Senior PHP Developer,Salesperson Consultant,Business Analyst,Public Awareness and Media Consultant,Future Leaders' Exchange Program (FLEX),MCA Armenia Chief Executive Officer,Software Developer Web Services,Regional Master's Programme in Human Rights and Democratization,Information Security Responsible,Fraud Risks Analyst,0.6240974015706531
Delphi Programmer,Senior Android Developer,Assistant Associate Professors (5 posts),Operations Specialist,Chief Financial Officer,Procurement and Logistics Specialist,Cashier at Entertainment Z1,Senior Software Engineer (MTS 4),Executive Director,QA Intern Contractor,PD System Administrator,0.44895377641912193
Software Developer Programmer,Clinical Psychologist,Senior C++ Engineer,State Investments Management Trainer,Native Near Native English Teacher,Corporate Banking Manager,Mathematician,AutoCAD Designer,Entertainment & Sport Manager,"Deputy Chief of State Service of Food Safety, SNCOs and",Designer,0.1278132082432931
Manager,Video Clip Editor,Procurement Coordinator,Economist Tax Analyst,Medical Representative,Rural Lending Supervisor,QA Testing Engineer,Medical Representative,Resource Director,Market Marketing Coordinator Specialist,Trade Officer,0.8321825752384968
System Administrator,Project Coordinator for Promoting Equal Rights and Equal,Real Estate Asset Management Division Head,Tax Administration Expert,Secretary,Tourism Specialist,Brand Manager,Senior Software Engineer,Head of HR,System Administrator,Project Manager,0.700838032994255
Personal Driver,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,MA in Journalism,Creative Manager,Credit and Debt Manager,Branch Manager,Finance Manager,0.9102935750803773
Programmer (Developer),Video Clip Editor,Junior Finance Specialist,Web Engineer,"Short Term Expert, EU Targeted Initiative for Armenia",Senior PHP Developer,Research and Development Engineer,Designer,Office Assistant Secretary,General Manager,Civil Society Program Director,0.034997101143730565
Financial Assistant,Programmer,Senior Android Developer,Executive Director,Procurement and Logistics Specialist,General French Language Teacher,Claims Assistant,IELTS Examiner,Store Manager Director,Operations Specialist,Legal Specialist,0.08728192694882202
Forum at Uplistsikhe,Project Quality Manager in the Sphere of Aircraft Manufacturing,C#.NET Senior Developer Architect,Public Relations Responsible,Junior Android Developer,Designer,Java Developer,Head of Nushikyan Print,Monitoring Project Officer,Controller,Marketing and Business Analyst,0.024613925051388815
Commercial Assistant,Journalist,Contact Center Project Manager Head,Rural Lending Supervisor,Accountant,Graduate Trainee for Technical Department,Micro and Small Loans Team Leader,Shop Manager,Senior Java Tester,Support System Administrator,Procurement and Logistics Specialist,0.5620091709271069
Communications Electronics Engineer,Head of Credit Back Office,Head of Internal Audit Department,Senior C++ Engineer,Android Developer,Web Engineer,Lawyer,CEO Assistant Receptionist,Registration Coordinator in Stepanakert,Sales Assistant,Driver,0.7031044115321773
DSP Engineer,Chief Financial Officer,Packet Core Specialist,Accountant,Web Developer,Consultant for Strategic Planning Development,Director of Rural Finance Facility (RFF),Client Manager,Manager of Child and Family Support (CFS) Program,System Administrator,Program Manager,0.08886312127760501
Control Engineer,C#\ASP.Net Senior Software Developer,HR Recruitment Specialist,Marketing Manager,HR Specialist,Civil Society Program Coordinator,"Senior Software Engineer, Deep Submicron Department",System Administrator,Senior Cashier,Senior ASP.NET MVC Developer,Specialist of Analysis and Analytics,0.38570600326780163
Senior Developer(s) Software Engineers,Creative Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Branch Manager,Finance Manager,Java Developer,Language Assistant for EU Twinning Project,0.12359669003320509
QA engineer at Lycos Test Center,Tourism Manager,Journalist,Sales and Distribution Manager,Product Manager,Technical Support Specialist,Banking Specialist,Marketing Manager,Technical Support Operator,Project Development Assistant,SQA Engineer Intern,0.35339693248300214
National Expert on National Millennium Development Report (MDGR,Accountant,Accounting and Control Officer,English Language Courses,Senior Java Developer,Project Manager for Cross border Programs,Public Relations Team Leader,Program Experts,Head Engineer Mechanic of food (canning) industry,Lawyer,Local Governance Expert for Municipal Services,0.0638802508828335
Global Leadership Fellows,Senior C++ Software Developer,Legal Adviser Compliance Representative,Chief Accountant,Medical Representative in Yerevan,Account Supervisor,Industrial Graphic Designer,Senior Methodologist,Promotion Manager,Staff Photographer,Database Administrator,0.7474832656933537
Sales and Marketing Manager,Corporate Affairs Trainee,Cashier,Online Marketing Developer,QA Intern Contractor,Accountant,Junior Expert at NA Standing Committee on Economic Affairs,System Administrator,Senior Web Developer,Internet Assessor,Expediter,0.13761661308174775
Receptionist,Place and Route Technical Marketing Engineer,Java Developer,Driver,Senior Java Tester,Business Advisor Non Farm Rural Enterprises,Billing Administrator,Marketing Coordinator,Representative,Graphic Designer,Java Developer,0.5102514098982766
Water and Wastewater Specialist,Contractor Intern,Head of Operational Unit,Java Developer,Small and Medium Enterprise Lending Unit Specialist,Head of Corporate Banking Customer Service,Software Test Engineer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.41422020766352186
Leading Specialist Planning and Analyses Division,Senior Circuit Design Engineer,Sales Manager Preseller,Import Manager,Elementary Teacher,Corporate Affairs Trainee,Programmer,IELTS Examiner,"Software Engineer, Design to Silicon Division",Regional Retail Executive,"Head of Fraud Prevention and Monitoring Unit, Card Operations",0.6444948084119538
Customer Relations Manager,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,GUI Developer,Technical Consultant,Manager (Traffic Account),MA in Journalism,Assistant to the Prime Minister of RA Macroeconomist,Front Office Manager,Environmental Specialist,Medical Representative,Assistant to the Chief,0.7067938649660043
Programmes Coordinator,Senior Java Tester,Java Developer,AutoCAD Designer,Learning Coach,Internet Assessor,Public Relations Responsible,Senior Database Engineer,Medical Representative,Hotel Manager,Local Government Finance Technical Advisor,0.7900700996152427
Water Programme Manager,Monitoring and Evaluation Specialist,IT Specialist Manager,Database Programmer,Accountant,Senior Technical Support Engineer,iOS Developer,C#.NET Developer,Radio and Electronic Engineer,Rural Credit Specialist,Project Manager,0.917461656037527
Assistant to the Executive Director,Senior Java Tester,System Administrator,IT Support Specialist,Corporate Affairs Trainee,AutoCAD Designer,Food Safety Regulatory Reform Consultant,Senior Developer Team Leader,Head of ICT Comp1nt,Monitoring and Evaluation Trainee,Monitoring Project Officer,0.11843145522584726
Information Programme Assistant,"Leading Specialist, Financial Market Operations Department",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Chief Executive Officer of ""North South Road Corridor Investment",System Architectural Designer,Teller Customer Service Representative,Sales Director,0.7723607231328731
IT Specialist System Administrator,Senior C++ Engineer,Project Engineer,QA Testing Engineer,Tourism Specialist,Registration Coordinator in Stepanakert,Metsamor Branch Manager,Web Engineer,Loan Specialist,AutoCAD Designer,Software Test Engineer,0.06799135613766932
Environmental Education (EE) Technical Coordinator,Category Manager,Lawyer,Program Coordinator,Lawyer,Chief Accountant,Project Manager,Database Administrator,Store Manager Director,Senior Auditor,Driver,0.16534022031307646
Community & Business Development (CBD)Technical Coordinator,Front Office Manager,Financial Specialist,Masis Branch Manager,Senior Accountant,Senior Java Developer,Receptionist Administrative Assistant,Bellman,Assistant to the Prime Minister of RA Macroeconomist,Web Designer Developer,Hi Tech Council Workshop on A Hands On Approach to Developing,0.6116059663732673
Software Developer,"Leading Specialist, Financial Market Operations Department",Web Developer,Expert on Public Outreach,Human Resources Certification Institute (HRCI) Certification,System Architectural Designer,Support System Administrator,Java Developer,Internal Auditor,Assistant to Director Founder,Senior Java Tester,0.41358772993200865
Ticketing and Reservation Clerk,Web Designer,Web Designer,Driver,Assistant to Director of Sales,Software Developer,Store Manager Director,Receptionist Administrative Assistant,Social Worker,Engineer,National Programme Officer,0.9797607125915775
Salesperson Sales & Marketing Representative,IT Specialist,Sales Executive,Barman,IT Engineer,IT Support Specialist,Senior .NET Developer,Market Researcher Sociologist,Medical Representative,Driver,UI Web Engineer,0.07131186422811364
Administrative Assistant,Chief Accountant,Precision Engineering Cluster Specialist,Technical Writer,IOS Developer,Financial Crime and Regulatory Compliance Officer,Sub Investigator,Chief Financial Specialist,English Language Instructor,Assistant Administrator Yerevan Project Office,Global and Local Market research Specialists,0.4755178411426764
Senior or Intermediate Software Engineer,Marketing Assistant,Legal Adviser,Educational Information Fair,Non Cash Operations Department Specialist,Credit and Debt Manager,General Manager,Sales Manager,Pharmacist Operator,Office Manager,Junior PHP Developer,0.5804037316186159
Livelihoods Programme Officer,Monitoring Project Officer,Senior Manager of Support Services,IT Support Specialist,English Armenian Language Translator Interpreter,Ne2rk Administrator,Food Safety Regulatory Reform Consultant,Lawyer Economist,Administrative Assistant Translator,Financial Analyst Budget Controller,Assistant to Chief Accountant,0.8474674537500659
Sales & Marketing Specialist,Postal Financial Services (PFS) Commercial Department Head,Sales Manager,Sales Manager,Training Officer,Software Development Manager,Customer Support Representative,Administrative Assistant,Project Manager,GUI Developer,Assistant in Accounting Department,0.05655405049280557
Software Development Manager,Head of Marketing and Sales Department,Database Programmer,MainA_PHONENUMBERance Department Head,FronA_PHONENUMBERd Developer,Junior Finance Specialist,Food Chemist,Embedded Linux BSP Engineer,Senior Researcher,Vehicle Coordinator,Business Analyst with Health care Domain,0.3862857745216887
Program Assistant,IT Support Specialist,Energy Specialist,Controller,Secretary,Software Development Director,Financial Analyst Budget Controller,Financial Specialist,Family Physician General Practiti1r in the 5 year Mobile,Civil Society Program Director,Ne2rk Engineer,0.7782111421493701
Web Designer,Administrative Assistant Interpreter,Intern for UN Resident Coordinators (UNRC) Unit,Insurance Specialist,Email Marketing Assistant,Architect,Market Facilitator Economic Development Expert,Programmer,Senior Accountant,Secretary Referent,Territory Executive,0.03942444526432298
Sales and Marketing Professional,Procurement and Logistics Specialist,Driver,Quality Assurance Specialist,Medical Representative in Syunik,English Language Courses,Junior Java Developer,VoIP Sales Manager,"Country Director, Armenia",Accountant,Head of Financial Market Analysis and Short term Programming,0.9986296315817214
Fleet MainA_PHONENUMBERance Supervisor,Online Marketing Developer,Counsel,Medical Representative,Food Safety Regulatory Reform Consultant,Medical Representative,Contractor Intern,Secretary Registry Clerk,Project Program Assistant,Accountant,"Leading Specialist, Financial Market Operations Department",0.39239972592631633
C C++ Software Developers,Online Marketing Developer,System Administrator Leading Specialist,Senior Loan Credit Provider Monitoring Specialist,"Retail Credit Portfolio Post Underwriting Unit Loan Officer,",Native Near Native English Teacher,Corporate Banking Manager,Food Safety Regulatory Reform Consultant,Research and Development Engineer,Creative Manager,Language Assistant for EU Twinning Project,0.39962051336109206
Senior Developers,Claims Administrator,Fundraising and Procurement Specialist,Family Physician General Practiti1r in the 5 year Mobile,Chief Specialist on Operational Risk Analysis and Expertise,Economist Tax Analyst,Senior R&D Engineer 2,Financial Specialist,Installation Supervisor,Deputy Chairman of Security Department,Environmental Expert,0.6679491909555685
Java Software Developers,Online Marketing Developer,Project Assistant.,Internet Assessor,Sales Manager,Administrative Assistant Translator,Senior Web Developer,Food Safety Regulatory Reform Consultant,Cashier,System Administrator,Junior Expert at NA Standing Committee on Economic Affairs,0.26311073630949244
PHP Software Developers,Treasurer,Claims Administrator,Fundraising and Procurement Specialist,QA Testing Engineer,National Consultant on Energy and Energy Sector Regulatory,Economist Tax Analyst,Logistics Specialist,IT Supervisor,Financial Specialist,Chief Specialist on Operational Risk Analysis and Expertise,0.6229378590628788
Native English Language Instructor,Native Near Native English Teacher,Corporate Banking Manager,Medical Representative,Executive Director,Web Designer,Public Relations Responsible,Java Developer,Chief Security Officer,C C++ Software Developer,Graduate Trainee for Technical Department,0.35260633531861063
Project Manager SEO,Senior Technical Support Engineer,iOS Developer,Web Developer,Assistant to the Chief,Sales Engineer,Shop Manager,Secretary Registry Clerk,Tourism Manager,Journalist,Sales and Distribution Manager,0.2585252727560217
Developer Ad Technology,Business Management Project Officer,Native Near Native English Teacher,Corporate Banking Manager,Place and Route Technical Marketing Engineer,Research and Development Engineer,Gegharkunik Marz Development Manager,Food Safety Regulatory Reform Consultant,QA Intern Contractor,Product Manager,Accountant,0.6345332841406209
Support System Administrator,Translator Interpreter,System Administrator,Business Advisor Non Farm Rural Enterprises,Web Developer,Family Physician General Practiti1r in the 5 year Mobile,UNDP Operations Manager,Database Administrator,Team Leader,Software Development and Testing Senior Specialist,Project Engineer,0.08032467190217678
Product & Customer Care Manager Free Hosting,TEFL Technical Coordinator for Pre Service Training,Legal Research Assistant,Accountant,Disability Consultant,Computer and Digital Appliances Seller,Specialist of Commercial Affairs Department,Receptionist Administrative Assistant,Software Test Engineer,Grafik Interior & Exterior Designer,Junior C++ Engineer,0.9594160122279028
Electricity Engineer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Sales Manager,Pharmacist Operator,Office Manager,IT Support Specialist,Business Advisor Non Farm Rural Enterprises,0.7269277394191747
Quality Assurance Supervisor,Driver,CEO Assistant Receptionist,Employment Services and Labor Inspectorates Expert,Product Manager,Lawyer,"Card Service Unit Specialist, IT and Automation Division",Secretary Referent,Project Manager,Clinical Psychologist,Photojournalism Course,0.18557950772149898
Hardware Service and Ne2rk Specialists,System Administrator Leading Specialist,Senior Java Tester,Web Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Project Coordinator,Java Developer,0.47788963263585094
Team Reporting Project,Public Relations Responsible,Java Developer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,.NET C# Developer,Representative,Tourism Manager,0.5653823854951774
English Language Courses,"Leading Specialist, Financial Market Operations Department",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Head of Reporting & Financial Analysis Division,Business Advisor Non Farm Rural Enterprises,Head of Nushikyan Print,Creative Manager,0.5370263005323355
Warehouse Keeper,Online Marketing Developer,Senior Web Developer,Systems Administrator,Senior Technical Expert Software Architect,Manager,Corporate Affairs Trainee,Junior Expert at NA Standing Committee on Economic Affairs,Food Safety Regulatory Reform Consultant,Internet Assessor,Medical Representative in Nagorno Karabakh,0.4049438676013282
Operations Manager,Automated Test Engineer,HR Generalist,Medical Representative,Post Catalogue and E Commerce Project Manager,Senior Software Test Developer,Mechanical Engineer,Tourism Manager,Journalist,Sales and Distribution Manager,Moskovyan Branch Teller,0.5431929584145891
Receptionist,Chief Financial Officer,Corporate Affairs Trainee,Fraud and Revenue Assurance Analyst Database Developer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,IELTS Examiner,"Leading Specialist, Financial Market Operations Department",0.29273177673536077
Accountant,Claims Administrator,Fundraising and Procurement Specialist,"Deputy Chief of State Service of Food Safety, SNCOs and",Family Physician General Practiti1r in the 5 year Mobile,Marketing Superviser,AutoCAD Designer,Controller,Non Cash Operations Department Specialist,IT Support Specialist,Senior R&D Engineer 2,0.6469193063827544
Assistant to Accountant Cashier,Manager Persian Language Specialist,Accountant,Translator English Language Teacher,Chief Accountant,Public Relations Assistant,Senior Research and Development Engineer,Guide Training Program,Regional Manager,Senior Lawyer,Medical Representative,0.8297053707900701
UNIX Systems Administrator,Non Cash Operations Department Specialist,System Administrator Leading Specialist,Senior Software Developer,QA Testing Engineer,Medical Representative,Billing Administrator,Marketing Coordinator,Web Engineer,Assistant to the Chief,Civil Society Program Director,0.046170874400463816
Project Manager,Accountant,Web Developer,Research and Development Engineer,Gegharkunik Marz Development Manager,Shop Manager,Senior Manager of Support Services,Creative Manager,Programme Office Manager,Senior C++ Engineer,Translator,0.7314604964950192
Leading Specialist Supervision Department,Manager (Traffic Account),Deputy Chief Accountant,Chemist of Chemical Scientific Research Laboratory,Administrative Volunteers,Property and Procurement Manager,Monitoring Project Officer,Java Developer,Pre Seller,Supplied Services Agent,Seller,0.190323090707848
Finance Assistant,Designer,Medical Representative,AutoCAD Designer,Business Advisor Non Farm Rural Enterprises,Contractor Intern,"Deputy Chief of State Service of Food Safety, SNCOs and",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.28862067148052495
Customer Service Agent,Senior Java Developer,Senior Java Tester,Accounting and Control Officer,Chief Engineer,Chief Accountant,Human Resources Certification Institute (HRCI) Certification,PHP Developer,Chief Accountant,Head of Corporate Banking Customer Service,Web Developer,0.8174774679808149
Marketing and PR Manager,Information Security Responsible,Secretary Registry Clerk,"Chief Executive Officer of ""North South Road Corridor Investment",Language Assistant for EU Twinning Project,Project Coordinator for Caring for Equality Project,GUI Developer,Chief Accountant,English Language Courses,"Leading Specialist, Financial Market Operations Department",Sales and Marketing Manager,0.28735571601749854
Resource Software Development Director,Import Manager,Lead Web Developer,Senior ETL Informatica Developer,Software Test Engineer,Electrical Engineer,Medical Representative,Administrator of the Information Ne2rks and Active Directory,Fitter,Medical Representative in Armenia,Head of Law Chair Pedagogic Coordinator of Law Faculty,0.9202023928740842
Food and Beverage Supervisor,Shop Manager,Designer,Java Developer,Accountant,Driver,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,0.25040847520160225
Receptionist,Project Development Officer,Marketing Research Assistant Intern,Web Systems Group Engineer,Head of Economic Research Department,Secretary Translator,Actuary,Systems Administrator,Creditors' Bookkeeper,International Sales Manager,Stepanavan Transformational Development Facilitator,0.8982237917040005
Landmine Public Awareness Specialist,Secretary Registry Clerk,Creative Manager,Controller,Branch Manager,Finance Manager,Sales Director,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.22252674853739524
Software Developer,Information Security Responsible,Senior Presales Engineer,Executive Director,Creative Manager,Administrative Assistant Interpreter,Designer,Research and Development Engineer,Merchandising Manager,AutoCAD Designer,Short term Legal Experts for Drafting Amendments and Additions to,0.8424076318979603
Chief Accountant Assistant,Programmer,Food Safety Regulatory Reform Consultant,Software Test Engineer,Native Near Native English Teacher,Corporate Banking Manager,International Fr8 Forwarding Manager,Museum Head Curator,Workshops Coordinator,C C++ Software Developer,Senior Java Tester,0.8976967269277394
