label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Executive Assistant Librarian,Deputy CEO,Java Developers,C# .Net Developer,Head of Marketing Division,Marketing Manager,Visual Merchandiser,Junior Prfessional Associate,"Leading Specialist, Financial Market Operations Department",Site MainA_PHONENUMBERance Unit Manager,Administrative Assistant,0.6624150108048279
Administrative Assistant of Civic and Civil Educational and,Project Coordinator,Logistic Procurement Assistant,Managing Director,Project Coordinator,QA engineer at Lycos Test Center,Base Station and Transport Administration Engineer,"Intermediate QA Analyst, Functional Testing",Retail Marketing Manager,Expert Industry Statistician,Executive Director,0.33226163495493594
Tour Manager,Project Coordinator,Advertising and Marketing Manager,Accountant,IATP Country Coordinator,HR Database Coordinator,Procurement Department Specialist,Contracts Coordinator,Agronomist,English News Reporter,Personnel Appraisal Specialist,0.37737837980287775
Consultant on mathematics and financial statistics,Fr8 Forwarding Coordinator,Software Sales Representative,C C++ Software Developer,"Software Engineer, Design to Silicon Division",Senior Designer Art Director,Accountant,Accountant,Executive Assistant to CEO,IT Specialist (Implementation and Support of Large Scale,Support and Consulting Specialist,0.9901965951615453
Program Manager,Head of Internal Audit,Accountant,Ground Handling MainA_PHONENUMBERance Manager,Category Specialist,Assistant Translator Interpreter,Senior Software Engineer Database Department,National Expert on Policy Analysis,Welding Engineer,Project Manager,Accountant,0.36631001950139674
Chief Marketing Specialist,Vardenis ADP Administrative Assistant,Inspection Reform Expert,Senior Loan Officer in Ararat marz,Accountant,Finance Director,Voter Registration Assistant,Application Manager,Scriptwriters,Administrative Assistant,Team Lead Web Application Development and Design,0.9782322247404206
Automotive Service Adviser,Quality Control Operator,Project Manager,QA (Quality Assurance) Engineer,HR Director,Developer,Instructor of Bank Legislation,Senior .Net Engineer,Architect Designer,Chief Accountant,Teller Operator in Abovyan,0.9853475992199441
Construction Manager,Web Developer,Secretary Translator,Client Manager,Manager of Child and Family Support (CFS) Program,Tavush ADP Manager,"Leading Specialist, Monitoring and Analysis Group",Database Administrator Programmer,Software Quality Assurance Engineer,Accounting and Control Officer,Graphic Designer,0.4267116428609076
Graphic Designer,Fr8 Forwarding Coordinator,Procurement Specialist,English Language Courses,Chief of Party,Driver,Chief Accountant,IT Specialist,VAS Ne2rk Operations Engineer,Gender Policy Programme Officer,Regional Retail Executive,0.1435724450534971
Electrical Engineer,Secretary,Regional Retail Executive,Marketing Specialist,Orchard Manager,QA (Quality Assurance) Engineer,Senior System Administrator,Secretary Referent,Advocacy and Transparency Specialist,Manager Assistant,Quality Control Operator,0.45338112053971436
Telecommunications Installation Engineer,Salesperson Cashier,Senior Software Engineer,HR Senior Specialist,Senior IT Support Manager,Tourism Department Operator,Human Resources and Organizational Development Manager,Senior QA Engineer,Project Manager for Armenian Cuisine Revival and Arts & Crafts,Risk Manager,Head of Commercial Department,0.6816528751383545
Telecommunications Engineer,Lessons Learned from Peacebuilding in Conflict Z1s,Purchasing Assistant,Product Manager,Administrative Finance Associate,Senior Software Engineer Deep Submicron Department,Journalism MA Course,Environmental Education Program Manager,"Software Developer, Software Management Unit",Graphic Designer,Software Developer,0.23654667158593792
Graphic Designer,Teller,Assistant Secretary to the Regional Manager,Driver,Sales Manager,"Team Leader, Development Department",Head of Ne2rks Operations & Administration Division,Member of Internal Audit Lead Auditor,Full Stack Developer,Advertising Agent,Transformational Development Facilitator in Gyumri,0.5663311020924472
Sound Designer,Site Supervisor,Expert in Entrepreneurship Policy,Telesales Specialist,Web UI Developer,International Sales Manager,Media Museum Manager,Receptionist,Sales Assistant in accounting,Outreacher,Temporary Systems Administrator,0.9665313867074263
Sales Person,QA (Quality Assurance) Engineer,Designer,Teller Operator in Abovyan,Assistant to Director,Senior PHP Backend Engineer,Orchard Manager,Transportation Dispetcher,Manager Quality Assurance Specialist,Technical Writer,Translator,0.6914562799768091
Developers Team Leader,QA (Quality Assurance) Engineer,Software Developer,Quality Control Operator,Project Manager,Architect Designer,Chief Accountant,HR Director,Translator Interpreter (AVET3),Youth Facility Educator,Executive Director,0.9804986032783429
Engineer Designer,Secretary Translator,Project Manager,Translator Interpreter,Monitoring and Evaluation Specialist,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,Hotel Manager,Technical Consultant,0.4319822906235176
Finance Treasury Associate,Quality Control Operator,Web Engineer,QA (Quality Assurance) Engineer,Chief Accountant,Sales Manager,Journalism MA Course,Environmental Education Program Manager,"Software Developer, Software Management Unit",CEO Deputy,Web Designer,0.8851525852527276
Head of FInance Unit Finance Analyst,Interior Designer,Marketing Specialist,Flash Developer,Territory Executive,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,0.5538923733726875
Finance Assistant,C# .Net Developer,Head of Marketing Division,Marketing Manager,"Head of Payment Cards, ATM and POS Terminals Operations",MSF Midwife,Receptionist,Visualizers Team Leader,Manager,Junior Software Engineer GUI Architect,Lawyer,0.0039002793443314184
Finance Associate,Sales Manager,Accountant,Yearly Course in Photojournalism,Junior Prfessional Associate,Territorial Direction Customer Service and Sales Managers in,Training Manager,Rural Credit Advisor,Country Director,Sales & Marketing Specialist,PHP Programmer,0.9168818847836399
Promotion Specialist,Cashier,Assistant to Food and Beverage Director,Women Entrepreneurship Training*,IT Specialist,Finance Associate,Senior Web Developer,Project Assistant,Junior Java Developer,Programmer,Sales Advisor,0.30348389817108523
Software Engineers,Young Economists Possessing Research PoA_PHONENUMBERtial and Skills,Marketing Manager,Web Designer,Rural Credit Advisor,Territorial Direction Customer Service and Sales Managers in,Advanced Training Certificate Program in International Law &,Reporting and Management Information Systems (MIS) Specialist,Marketing and Advertising Manager,Leading Specialist Business Loans Department,Sales Support Specialist,0.5352869867706741
Web Master,Telecom Technical Installer,C C++ Software Developer,"Credit and Operation Risk Division Associate, Risk Management",Administrative Secretary,Software Engineer,"Senior Specialist, Department of Financial Market Operations,","Senior Specialist, Client Marketing Group",Medical Representative,Senior CAE Engineer,Office Manager,0.4854793654140094
Computer Specialist Designer,Project Manager,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,Programmer,Exams Assistant,Website Designer,Procurement Manager,PR Officer,0.31355083539767037
Senior Web Developer,Fashion Buyer,Mechanical Engineer,Project Assistant,Senior PHP Developer,Tax Administration Expert,Director of Rural Finance Facility (RFF),Furniture Salesperson,Agro Loan Officer,Senior Executive Sales and Marketing Manager,Salesperson Cashier,0.4861645496231487
Web Designer,Promoter,Head of Marketing and Sales Department,Agronomist,FronA_PHONENUMBERd Developer,MainA_PHONENUMBERance Department Head,Senior Research and Development Engineer,Head of Internal Audit,Sales Consultant,Chief Accountant,Flash AS3 Developer,0.3618299689031782
Area Sales Manager,Fr8 Forwarding Coordinator,English Language Courses,Procurement Specialist,IT Specialist,Assistant in Accounting Department,Financial Assistant,PHP Web Developer,VAS Ne2rk Operations Engineer,Project Assistant for Developing the Protected Area System of,Chief of Party,0.8781953302060823
English Language Courses,Fr8 Forwarding Coordinator,Product and Tour Manager,Procurement Specialist,Business Analyst with Health care Domain,"Senior Manager, Test & Repair",Medical Representative,PC Designer,Finance and Administration Director,English Language Courses,Win2k Servers Administrator,0.9012280609286881
PHP Programmer,Finance and Administration Director,Head of Internal Audit,Product and Tour Manager,Medical Officer,Sales Manager,Fr8 Forwarding Coordinator,Sales Specialist,Senior Java Developer,Test Theory Specialist of the TASS Test,Finance Analyst,0.03889738048806198
Flasher,Vardenis ADP Administrative Assistant,Interior Designer,Accountant,Web Design Trainer,Communcation Officer,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,0.3406419648974859
Receptionist,Java Developers,Chief of Party,Technician,Agricultural Marketing Specialist,Senior Finance and Treasury Assistant,"Head of Payment Cards, ATM and POS Terminals Operations",Agronomist,General Counsel,Inventory and Commodity Analyst,Logistics Specialist,0.9866652611605966
Assistant to Accountant Economist,Quality Control Manager,Web Designer,Teller,Assistant Underwriter,Client Advisor,Basic Actuarial Training A_PHONENUMBER,Project Manager,IT Database Specialist,Internal Control Specialist,National Expert in Policy of Integrated Water Resource,0.2325936857639804
Assistant to Accountant Economist,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,Senior SW Integration Engineer,0.3698413535023454
Secretary,Computer Aided Drafting (CAD) Technician,Messaging Collaboration Systems Engineer Administrator,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,Section Manager,SME Credit Officer,Sales Representative,0.14004111105254835
Administrative Assistant,Chief of Party,Fr8 Forwarding Coordinator,Junior Prfessional Associate,Office Manager,Software Developer (Medical Imaging),Software Developer,Support and Consulting Specialist,Head of Marketing and Sales Department,Salesperson Sales & Marketing Representative,Java Developers,0.26574606019079744
On line Consultations on Import and Export Related Customs,Teller,Head of Ne2rks Operations & Administration Division,Member of Internal Audit Lead Auditor,Developer,Senior Driver,IT Manager Assistant,Advertising Agent,Transformational Development Facilitator in Gyumri,Senior System Analyst,Construction Manager,0.2285879934643968
Analyst,Product and Tour Manager,Procurement Specialist,English Language Courses,Assistant Translator Interpreter,HR Administrative Manager,Software Engineer,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Promoter,Chief Accountant,0.13276761714014654
Methodologist,QA (Quality Assurance) Engineer,Airport Customer Service Agent,Regional Retail Executive,Accountant,.NET Senior Software Developer,HR Generalist,C# Senior Developer,Secretary Translator,Architect Designer,Chief Accountant,0.9136140831708217
Database Manager,English Language Courses,Fr8 Forwarding Coordinator,Procurement Specialist,Executive Assistant,Customer Relationship Analyst Associate,Product and Tour Manager,Accountant,Test Theory Specialist of the TASS Test,Application Manager,Ground Handling MainA_PHONENUMBERance Manager,0.20439572023401675
Responsible for International Relations and Trainings,Lawyer,External Relations Specialist,Finance and Administration Director,Regional Masters Programme in Human Rights and Democratization,"Data Administrator 1 IT Division, Financial Monitoring Center",Finance and Administration Manager,Chief Executive Officer,Contractor Intern,Sales Manager,.Net C# C++ Software Developer,0.3409054972856164
Pharmacist,Product and Tour Manager,HR Administrative Manager,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Software Engineer,High School Science Teacher,Scriptwriters,Administrative Assistant,Team Lead Web Application Development and Design,National Finance Officer,0.4660833816476045
Assistant to Social Work Supervisor,Manager Assistant,C# .Net Developer,Head of Marketing Division,Marketing Manager,Young Economists Possessing Research PoA_PHONENUMBERtial and Skills,Chief of Party,Secretary Translator,"Poverty, Transition and Democracy in Armenia",Administrative Assistant,Software Developer,0.3812786591472092
Portfolio Coordinator on Socio Economic Governance,Stock Keeper,Programmer,Exams Assistant,Website Designer,Procurement Manager,Day Centres Supervisor,Static and Patrol Security Officers,Financier in Budget Planning and Control Unit,NIMA A: Training Course for Marketing Specialists,IT Specialist (Implementation and Support of Large Scale,0.28640699942022874
Front Desk Clerk Administrator,French Translator,Head of Organisational Development Division,Receptionist Administrative Assistant,Fiscal Tax Economist,Hardware Engineer,Public Outreach Specialist,Shop Assistant,Construction Director,Senior iOS Developer,Digital Marketing Manager,0.9745427713065936
Salesman,Administrative Finance Associate,Lessons Learned from Peacebuilding in Conflict Z1s,Purchasing Assistant,Product Manager,Ne2rk Engineer Release Manager,Market Development Specialist,Journalism MA Course,Environmental Education Program Manager,"Software Developer, Software Management Unit",QA Lead Test Engineer,0.1258630685711274
Engineer,Verification Engineer,Credit Officer,Internal Control and Audit Unit Manager,Fundraising Specialist,Sales Manager,Software Engineer,Executive Assistant,Secretary Referent,Administrator of Transfer Systems & Computer Technics Supporter,Community Development Coordinator,0.9625784008854689
Software Engineer,Quality Control Operator,HR Director,QA (Quality Assurance) Engineer,Regional Retail Executive,Economist Tax Analyst,Manager Assistant,Project Manager,Sales and Import Manager for Kitchen Equipment,Web Engineer,Support and Consulting Specialist,0.41690823802245297
National Expert,"Leading Specialist, Financial Market Operations Department",Sociologist Fieldwork Manager,Embedded Linux BSP Engineer,Site MainA_PHONENUMBERance Unit Manager,Learning Coach at Dilijan Branch,Embedded Linux BSP Engineer,"Analyst, Economic Statistics Development Division, Statistics",Junior Prfessional Associate,Sales and Marketing Manager,QA Engineer,0.29046539819743844
IT Supplier Sales Assistant,Senior PHP Developer,Finance and Administration Manager,Finance and Administration Director,Costing Analysis Division Head,Executive Director,SAS Programmer,HR Coordinator,Commercial Representative,Web Developer,Account Manager,0.34422600537606074
Tour Guide,Developer,Senior Software Engineer Place & Route Department,IT Manager Assistant,Sales Manager,IT Manager,Senior Driver,Manager in Sales and Procurement Department,Mutual Funds Unit Senior Specialist,Retail Sales Manager,Problem Loans Officer,0.3170821693986191
Dispatcher,Furniture Salesperson,Project Assistant,Development Director,Marketing Analyst,"High School Specialist Engineer of the Subcomp1nt ""Enrichmentof the Upper Secondary Schools""",Specialist Researcher,Lawyer on Disability Issues,Business Cooperation Division Head,Head of Financial Reporting Unit,Support Specialist,0.37147525430875455
Administrative Services Manager,Program Support Coordinator,Head of Production,Agronomist,Web Designer,Driver,Assistant to Director of Sales,Software Developer (Medical Imaging),Business Analyst with Health care Domain,"Senior Manager, Test & Repair",Medical Representative,0.5171032519896696
Finance Manager,Regional Retail Executive,Fr8 Forwarding Coordinator,VAS Ne2rk Operations Engineer,Administrative Secretary,QA Engineer,Hotel Manager,Costing Analysis Division Head,Armenia Country Director,Economist Engineer,Medical Representative,0.817582880936067
Water and Wastewater Specialist,"Senior Chief Lawyer, Contracts Division",Chief Accountant,Chief Cook,Construction SuperinA_PHONENUMBERdent,Shirak Airport Security Inspector,Project Manager,Accountant,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,0.3258314446845517
Lessons Learned from Peacebuilding in Conflict Z1s,Quality Control Operator,Senior System Administrator,Human Resources and Administrative Manager,Database Development Team Leader Fraud and Revenue Assurance,HR Director,Installation Supervisor,Controller Senior Auditor,Regional Retail Executive,QA (Quality Assurance) Engineer,Senior Software Engineer,0.12143572445053497
Communications and Development Coordinator,Fr8 Forwarding Coordinator,Human Resources and Administrative Manager,Finance and Administration Director,IT Specialist (Implementation and Support of Large Scale,HR Director,Quality Control Operator,Chief of Party,Training and Institutional Capacity Building Specialist,Transport Department Operator,Java Developer,0.34659779686923525
Office Assistant,Communications Senior Project Coordinator Expert,Office Administrator,Senior Software Engineer Deep Submicron Department,Ne2rk Engineer Release Manager,Market Development Specialist,Journalism MA Course,Environmental Education Program Manager,"Software Developer, Software Management Unit",Business Development and International Relations Manager,Senior Android Developer,0.6258894218099404
Loan Officer for Express Operations,Assistant Translator Interpreter,Ground Handling MainA_PHONENUMBERance Manager,Senior .Net Developer,Accountant,Medical Officer,Sales Representative,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Java Developer,Finance Director,0.885890475939493
Receptionist,HR Director,Sales Manager,Corporate Secretary Corporate Governance Expert,Java Developer,Finance Director,Quality Control Operator,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,0.5027670900753702
Executive Manager,iPh1 Application Developer,Doctor,Chief Engineer,Local Expert on Land Issues,Senior Developer in Automated Test Department,Territorial Direction Customer Service and Sales Manager in,Sales Manager,English Language Courses,Regional Retail Executive,Java Developer,0.45601644442101935
Administrative Assistant,Local Governance Decentralization Expert,Irrigation Infrastructure Engineer,Higher Education Financing Specialist,Research & Development Engineer,Head of Financial Department,English News Reporter,Administrator,Credit Officer for Artashat Branch,Shop Manager,Executive Director,0.13856532967901755
Armenia Country Director,English Language Courses,Regulatory Affairs & Medical Manager,Application Manager,Software Engineer,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Finance Director,Receptionist Administrative Assistant,Voter Registration Assistant,Office Administrator,0.16249407052126708
Salesperson,Project Manager,Senior Loan Credit Provider Monitoring Specialist,Community Development Specialist,Programme Officer,Graphic Designer,Instructor of Bank Legislation,Senior .Net Engineer,Developer,Teller Operator in Abovyan,Programmer,0.00216096558267011
Radiotechnology and Electronics Specialist,QA (Quality Assurance) Engineer,Translator Interpreter (AVET3),Security Officer,Project Manager,Accounting Finance Intern,Doctor Expert,Project Coordinator Education,Project Manager,Assistant to Director,Senior PHP Backend Engineer,0.9181995467242924
Warehouse Keeper,Product and Tour Manager,Inspection Reform Expert,Ground Handling MainA_PHONENUMBERance Manager,C# .NET Senior Developer Team Leader,Operations Manager,Equipment Manager Controller,Test Theory Specialist of the TASS Test,Interior Designer,"Senior Chief Lawyer, Contracts Division",Procurement Specialist,0.4267643493385337
English Language Courses,Inspection Reform Expert,Training and Institutional Capacity Building Specialist,Procurement Specialist,Product and Tour Manager,Administrative Assistant Interpreter,Accountant,Administrator of Transfer Systems & Computer Technics Supporter,Local Consultant for Rapid Assessment of Child Care Institutions,Expert in International Law,English Language Courses,0.4894323512359669
Senior Procurement Officer,Software Engineer,Application Manager,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Assistant Translator Interpreter,Medical Officer,English Language Courses,Electricity Engineer,Senior Loan Officer in Ararat marz,Test Theory Specialist of the TASS Test,0.935856216729036
Marketing Manager,English Language Courses,Procurement Specialist,HR Administrative Manager,Finance Director,Application Manager,Accountant,Java Developer,Quality Control Engineer,Apprentice (Intern) Web Developer,Product and Tour Manager,0.8220629315342856
Communication Specialist,Finance and Administration Director,SAS Programmer,Advanced Training Certificate Program in International Relations,Sales Specialist,Administrative Secretary,Sales Manager,Sales Manager,Database Administrator,Senior System Administrator,Agricultural Services Corporation (ASCO) General Manager,0.0007905971643915038
Program Coordinator,Medical Representative,Deputy Financial Controller,Account Manager,Medical Representative,Medical Representative,"CRM Group Manager, Development Department, Client RelationshipManagement Unit",Resource Software Development Director,Senior Software Engineer,Quality Control Engineer,Administrative Assistant,0.9446581984925947
Lawyer for Legal Department,Fr8 Forwarding Coordinator,Procurement Specialist,English Language Courses,Chief of Party,Driver,Chief Accountant,IT Specialist,VAS Ne2rk Operations Engineer,Gender Policy Programme Officer,Regional Retail Executive,0.21588573235650663
Programme Management Specialist,Voter Registration Assistant,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,0.021767775259579403
Funding Manager,"Construction Supervision Engineer, Nagorno Karabakh School",Salesman,Deputy Chief Accountant,Public Private Dialogue Specialist Comp1nt 3 Team Leader,Embedded Software Engineer,Project Manager,Head of Human Recourses Management Department,Senior Software Engineer,Senior Web Designer,"Dealer, Financial Department",0.5634849523006378
Office Manager,Ticketing Agent,Accountant,Software Engineer QA,Lawyer,Credit Officer,Web Developer,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,0.9037052653771148
Sales and Office Manager,Quality Control Operator,Teller Operator in Abovyan,HR Director,Project Manager,Human Resources and Administrative Manager,Credit Specialist,Assistant National Director,IT Specialist (Implementation and Support of Large Scale,Java Junior Developer,ASP.Net C# Senior Web Developer,0.03942444526432298
Sales Assistant in accounting,Procurement Specialist,Chief Accountant,Branch Accountant,Telesales Specialist,Web UI Developer,International Sales Manager,Lecturer for Public Law,Doctor,English Language Courses,Tester Software Quality Assurance Engineer,0.16439150371580669
Pharmacist,Lawyer,Finance and Administration Director,Procurement Specialist,External Relations Specialist,Head of Internal Audit,Gender Policy Programme Officer,General Manager,Finance Analyst,Test Theory Specialist of the TASS Test,Designer,0.4053128129447109
IS Specialist,Inspection Reform Expert,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,0.24993411690296738
Atlas Associate,iPh1 Application Developer,Day Centres Supervisor,Advertisement and PR Supervisor,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,Section Manager,SME Credit Officer,0.7519633162915722
Receptionist,Branch Accountant,"Leading Specialist, Financial Market Operations Department",Marketing Business Intelligence Coordinator,EDA QA Engineering Manager,Marketing and Operation Officer,System Architectural Designer,Senior System Administrator,Software Quality Assurance Engineer,Strategic Planning and Business Development Officer,Web Developer,0.9576239919886154
Head Engineer Mechanic of food (canning) industry,Accountant,Ne2rk Administrator,Finance Director,Interior Designer,Community Development Coordinator,Junior QA Specialist,Java Developer,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,0.6434406788594318
Manager (Head) of food production,Deputy Director for Operations,Local Consultant for Rapid Assessment of Child Care Institutions,Infrastructure Economist,Lawyer,Credit Officer,Web Developer,Secretary Referent,Senior PHP Developer,Salesperson Consultant,Business Analyst,0.7535445106203552
Software Developer,Business Risk and Control Specialist,Senior Software Firmware Engineer,Project Assistant,MA in Journalism,Administrator Domain Processing,C Software Developer,Executive Director,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,"Chief Dealer, Treasury, Financial Markets Department",Quality Control Operator,0.07637168608021926
Accountant,Information Security Manager,Senior Software Developer,Tester Software Quality Assurance Engineer,Specialist in Problem Loans Management Unit,Electrical Engineer's Student,English Language Courses,Finance Assistant Intern,Leading Specialist in Internatioonal Business Division,Senior Software Engineer Place & Route Department,Software Quality Assurance Specialist,0.7362040794813682
Support System Administrator,"Senior Chief Lawyer, Contracts Division","Data Administrator 1 IT Division, Financial Monitoring Center",Ground Handling MainA_PHONENUMBERance Manager,Inspection Reform Expert,.Net Developer,Administrator of Transfer Systems & Computer Technics Supporter,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,0.041638117324619195
Auditor,Manager Assistant,QA (Quality Assurance) Engineer,Senior Methodologist,Advocacy and Transparency Specialist,C# .Net Developer,Head of Marketing Division,Marketing Manager,Operations Manager,Regional Representative,Watchman,0.24060507036314763
Specialist for the Development and Marketing Department,IT Specialist (Implementation and Support of Large Scale,Quality Control Operator,HR Director,Head of Consultative Diagnostic Department,Programmer,Exams Assistant,Website Designer,Procurement Manager,"Head of Banking System Development Research, Banking Methodology",Human Resources and Administrative Manager,0.03584040478574817
Project Manager SEO,Marketing Specialist,Flash Developer,Territory Executive,Managing Director,Project Coordinator,QA engineer at Lycos Test Center,Base Station and Transport Administration Engineer,"Intermediate QA Analyst, Functional Testing",Retail Marketing Manager,Expert Industry Statistician,0.020239287408422495
Developer Ad Technology,Software Engineer,"Senior Specialist, Client Marketing Group",Medical Representative,Senior CAE Engineer,HTML Web Designer,Telecom Technical Installer,Project Coordinator,Finance Director Chief Accountant,Engineer Sales Manager,Manager Assistant,0.533653085964265
Senior Customer Care Manager,Project Assistant,Account Manager,Senior PHP Developer,Surface Water Quality Standards Specialist,IT Unit Manager,Marketing and Sales Manager,Designer,Medical Representative,Administrative Assistant,Java Developer,0.3255152058187951
Product & Customer Care Manager Free Hosting,Translator Interpreter,Functional QA Team Lead in Goris,HR Director,Quality Control Operator,Junior Prfessional Associate,Technical Support Engineer,Embedded Linux BSP Engineer,Chief Financial Officer,"Analyst, Economic Statistics Development Division, Statistics",Chemist Technologist,0.5203710536024877
Secretary,C# .Net Developer,Head of Marketing Division,Marketing Manager,Senior Programme Assistant,Retail Finance Analyst,Administrator at Reception,System Administrator,Senior Quality Assurance Engineer,Medical Representative,Audit Assistant,0.09160385811416223
Java C++ Backend Developers,Fr8 Forwarding Coordinator,Marketing Specialist Sales Manager,Doctor Dietitian,Logistics Coordinator for Pre Service Training,Monitoring Software Program Consultant,Marketing Specialist,Medical Representative in Armenia,Senior PHP Developer,Child Protection and Education Specialist,Senior Project Officer,0.16591999156696358
Senior Developers,Senior Java Developer,Clean Production Specialist,Senior .NET Developer,Software Architect,Marketing and Sales Manager,C#.Net Backend Developer,Corporate Application Engineer,Administrative Assistant Database Operator,Database Administrator,Vehicle Engine Mechanic,0.02329626311073631
JSP Java PHP Developers,Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,Environmental Manager,Business Diagnostics for Consulting,Translator,iOS Developer,Senior Accountant,English Language Courses,0.6165076687924946
Java C++ PHP Software Developers,Fr8 Forwarding Coordinator,Procurement Specialist,English Language Courses,Chief of Party,Driver,Chief Accountant,IT Specialist,VAS Ne2rk Operations Engineer,Gender Policy Programme Officer,Regional Retail Executive,0.40963474411005113
C C++ Software Developers,Fr8 Forwarding Coordinator,English Language Courses,Merchandiser,Procurement Specialist,IT Specialist,Chief of Party,Chief Accountant,Head of Marketing and Sales Department,Marketing expert,Senior Java Developer,0.4869024403099141
PHP Software Developers,Italian Language Teachers,Designer,Junior Java Developer,Translator,Architect Designer,Chief Accountant,Youth Facility Educator,Executive Director,Senior Software Engineer,Compliance Officer,0.6593580351025141
Java Software Developers,Junior Prfessional Associate,Corporate Sales Manager,Technical Support Engineer,Training Manager,Sales and Marketing Manager,QA Engineer,Telecommunications IT Specialist,QA Lead Test Engineer,Site MainA_PHONENUMBERance Unit Manager,QA Engineer,0.5502029199388605
M1tary Economist,Verification Engineer,Credit Officer,Medical Monitor,Executive Manager,Chief of Party,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,0.9345912612660096
Software Engineer,Quality Control Operator,QA (Quality Assurance) Engineer,Regional Retail Executive,Project Manager,Architect Designer,Chief Accountant,Database Development Team Leader Fraud and Revenue Assurance,Journalist,Economist Tax Analyst,Marketing Specialist,0.26311073630949244
Administrator,Project Manager,Accountant,Operations Manager,Lawyer,Credit Officer,Web Developer,"Senior Chief Lawyer, Contracts Division",Accountant Analyst,Salesperson Consultant,Business Analyst,0.8998049860327835
Translator Technical Assistant,SAS Programmer,C C++ Software Developer,iPh1 Application Developer,Administrative Secretary,Tax Controller,Journalist,Administrative Assitant,Senior PHP Developer,Quality Control Operator,Finance and Administration Director,0.1724555947926
Systems Administrator,Operations Manager,"Senior Chief Lawyer, Contracts Division",Assistant Lawyer,Public Relations Assistant,Medical Representative,Chief Accountant,Team Leader,Qualified WEB Java Developer,Marketing Manager,Inspection Reform Expert,0.23080166552469297
Graphic Designer,Application Manager,Regulatory Affairs & Medical Manager,Database Administrator,Store Manager Director,Senior Auditor,Program Support Coordinator,Head of Production,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,0.9384388341327149
English Language Courses,HR Director,Quality Control Operator,Human Resources and Administrative Manager,News ConA_PHONENUMBERt Manager,ASP.Net C# C++ Software Developer,Database Development Team Leader Fraud and Revenue Assurance,Translator Interpreter,Project Assistant,Native Near Native English Teacher,Strategic Planning and Business Development Officer,0.693459126126601
Web Developer,Executive Assistant,Customer Relationship Analyst Associate,Apprentice (Intern) Web Developer,Administrator of Transfer Systems & Computer Technics Supporter,Consultant. MSE Finance in Armenia,Regulatory Affairs & Medical Manager,Web Design Trainer,Communcation Officer,"Administrative Assistant, CP Program with Armenian Association of",Accountant,0.09408106256258894
Quality Assurance Specialist,Marketing Business Intelligence Coordinator,Embedded Linux BSP Engineer,Language and Cultural Facilitator (LCF) for Pre Service Training,Credit Officer in Charentsavan Branch,General,Legal Expert,Sales Manager in Food & Beverage Sector,Information Service Specialist,Telecommunications IT Specialist,Tester Software Quality Assurance Engineer,0.2948400358404048
Community Health Education Technical Coordinator for Pre Service,Sales Specialist,Product and Tour Manager,Training and Institutional Capacity Building Specialist,Procurement Specialist,Inspection Reform Expert,HR Administrative Manager,Finance Director,Accountant,Assistant Translator Interpreter,Chief Accountant,0.0211352975280662
