label,rank,0,1,2,3,4,5,6,7,8,9
data managers,0.0829132626,project coordinator,it specialist,senior r d engineer,secretary/ administrative assistant,qa engineer,publicity agent,programmer it development department,revenue assurance specialist,seller,head human resources department
c .net developer,0.0832609074,programme assistant,program budgeting trainer,executive director,chief party,sales coordinator,marketing manager,program officer,office manager avet1,sales marketing specialist,grants manager
senior software engineer,0.0834347297,php developer,programme assistant,store manager,senior credit officer,marketing manager,junior lawyer,java developer,telecommunications engineer,project manager,ux designer
commercial/ administrative assistant `` shirak '' airport,0.0837244336,climate vulnerability assessment expert,branch manager,software developer,java developer,system architect,assistant human rights projects,coordinator corporative business sales,cook,auditor,head hr unit
journalist,0.083898256,software developer,mobile phones specialist,cardholder relationship management division specialist card,researcher country assessment health insurance aspects,logistics/ freight forwarding manager,manager accounting department,merchandiser,senior accountant/ systems administrator,financial/ administrative manager,territorial direction customer service sales manager
merchandiser,0.0839561968,it specialist,chief accountant,junior analog design engineer,senior engineer,assistant general director,irrigation infrastructure civil engineer,software engineer layout processing department ya,executive director,lawyer,occupational safety health expert
graphic designer customer service operator,0.0841879599,php developer,telecommunications engineer,senior web developer,mobile access networks planning optimization engineer,head fraud management revenue assurance division,system architect,sociologist,marketing manager,supply manager,security clerk
medical representative,0.0843038415,team lead/ senior java software developer,operations manager,tax intern,qa engineer,mfc gui developer,head personnel training division,head sales service department,head fraud management revenue assurance division,manager accounting department,credit officer /individual business crediting/
sector manager,0.084419723,analyst,engineer,deputy chief accountant,sales marketing professional,chief accountant,lawyer,java developer,financier,project manager,project manager
head development marketing department,0.0849411901,software developer,mobile phones specialist,senior accountant/ systems administrator,personal assistant ceo,warehouse shift supervisor,c++/c software developer,assistant director,chief specialist cash operations division,chief accountant/ auditor,sales person
capacity development information programme manager,0.0849411901,personal assistant ceo,social worker disability resource center spitak,developer ad technology id no 2,chief gardener,customer care manager,c .net developer,assistant category manager,market research intern,executive director center nuclear medicine,c/c++ software developer
assistant head legal unit,0.0849991309,community health education technical coordinator pre-service,telecommunications engineer,teaching english foreign language tefl technical,showrooms salesman,php developer,mobile access networks planning optimization engineer,product manager,qa engineer,senior financial analyst,head mechanics
lawyer,0.0849991309,project manager,lawyer,head personnel training division,project assistant,policy quality assurance expert youth,office manager,head personnel department,trade prosperity officer,head credit monitoring division,finance administration manager
service coordinator,0.085230894,community health education technical coordinator pre-service,teaching english foreign language tefl technical,manager accounting department,administrative secretary,brand manager,director engineering,announcements moderator,social worker disability resource center spitak,advocacy advisor,medical advisor
national public information officer np2,0.0852888348,native/ near-native english teacher,web designer/ programmer,senior lawyer court appeals division,food security specialist,senior system engineer,chief accountant,junior analog design engineer,sports coordinator,senior java web developer,c++ senior software developer
production operator,0.086042065,head personnel training division,legal officer,project manager,head credit monitoring division,medical representative,key account manager,legal counsel,software qa engineer,credit officer,specialist legal department
hr assistant,0.0865635321,information communication officer social media/ editorial,head retail banking wealth management rbwm,c software developer,specialist financial reporting department,national expert textile garment production quality,software engineer/ ui developer,network switching operation systems engineer,head internal audit,head department marketing methodology banking,senior .net developer
java senior developer/ architect,0.0867952952,monitoring evaluation trainee,tester/ quality assurance engineer,software qa engineer,credit officer,programmer,graphic designer,lawyer,accountant,`` migration development '' project manager,administrative assistant
junior expert public health na standing committee,0.0869691176,credit specialist artashat,automated test engineer,personal assistant ceo,sales representative,.net developer,web site moderator,sales manager,executive manager,senior technical specialist finance,head dealing operations department
armenian language cross-cultural facilitator lcf short,0.0872588215,marketing communications manager,java developer,sales manager,software engineer,local governance expert,fixed mobile convergent services senior manager,grant manager,software backend developer,mill crusher conveyer operator,small medium business credit officer
senior customer care manager,0.0877802885,it specialist,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,secretary,air-conditioning system technician,communication supervisor,visual display manager,visual communication specialist communications unit
finance administrative assistant,0.0878382293,interpreter/ administrative assistant,banking specialist,c++ engineer,construction business development marketing officer,monitoring evaluation trainee,techincal writer,software development manager,human resources manager,translator,senior specialist marketing pr unit
account manager,0.0880120517,human resources section manager,verification engineer,business financial analyst,finance officer/ cashier,chief accountant,finance administrative director,senior legal assistant,project manager,site maintenance unit manager,administrative permits negotiation specialist
risk management center head corporate credit risk management,0.0884176372,receptionist/ admin assistant,programme assistant,secretary/ assistant director,c senior software developer,recruitment junior assistant,active directory administrator,salesman,marketing specialist,android developer,mortgage pledge specialist department banking risks
loan specialist,0.0885914595,independent contractor-armenian russian language,sales manager/ preseller,qa engineer,chief cook,assistant accountant,senior r d engineer,senior android developer,voip administrator,manager traffic/ account,junior business consultant
java software developer,0.0885914595,loan specialist,telecommunications engineer,community health education technical coordinator pre-service,contractor/ intern,php developer,teaching english foreign language tefl technical,plastic cards specialist,head legal service,sqa engineer,director engineering
advisor local regional employment promotion,0.0887073411,product manager,head fraud management revenue assurance division,accountant,senior java developer,medical representative,systems analyst,research development engineer,cashier,national legal officer,ui software engineer html5
deputy head security,0.0887073411,food safety specialist,finance officer/ cashier,customs broker,storekeeper,executive director,senior consultant,customer service representative/ teller,production engineer,information program coordinator,analytics manager
educational program executive director,0.0893446897,designer,senior lending officer,interviewer armavir statistics department,communication responsible,3d modeling 3d animation content developer,accounting assistant,senior performance engineer,web developer,.net developer,user interface/ web designer
financial officer,0.0896343936,resident twinning advisor rta assistant,legal adviser,production operator,value added services engineer,c++ senior software developer,senior specialist remuneration social programs unit hr,qa technical writer,fiber optic network technician,project assistant,civil engineer
senior accountant,0.089808216,program budgeting trainer,executive director,finance manager,management information systems manager,mill crusher conveyer operator,software engineer,software engineer,merchandiser,java software developer,pr specialist
hr manager,0.0899820384,second class specialist ifi cooperation investor relations,embedded software engineer,sales consultant,head risk management division,head credit back office,fundraising specialist,.net software developer,communications executive/ pr specialist,customer service agent,accountant
executive manager,0.0903876238,merchandiser gegharkunik marz,senior accountant,expert public outreach,lending officer,auditor,chief executive officer ceo,lawyer,.net software developer,head human resources department,translator telecommunications/ regulatory/ it
loss prevention manager,0.0908511501,marketing pr specialist,administrative assistant civic civil educational,accountant accounting department,marketing coordinator,designer,analyst,assistant head legal unit,it specialist/ system administrator,legal expert,rural credit specialist
radio engineer,0.0908511501,driver,user interface ui technology development specialist,driver/ office assistant,investment specialist,operation maintenance o m tools engineer,programmer,head mis unit,information security administrator network security cba,sales manager,financial director
accounting specialist,0.0916043803,head risk management division,head credit back office,short term temporary stt information technology assistant,second class specialist ifi cooperation investor relations,embedded software engineer,sales consultant,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,associate consultant
interconnection business development manager,0.0923576105,operations manager,tax intern,procurement officer,customs manager,tax audit advisor,c/ c++ senior software engineer,expert/ trainer hiv/ aids,loan/credit provider monitoring specialist,marketing specialist,administrative/ hr assistant gs/5
civil engineer,0.0924155513,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,intermediate database developer,head computing facilities operations maintenance division,regional retail executive,social worker disability resource center spitak,qa engineer/ tester,senior backend engineer
accountant,0.0925314329,java software developer,ui web developer,researcher survey irregular migration,medical representative,junior accountant,marketing senior specialist,issuing editor,senior software engineer java,risk manager,android developer
postal financial services pfs project change division head,0.0926473144,android developer,analyst,technical manager,lawyer,cashier,chief security,monitoring evaluation assessment learning sharing team,php developer,sales representative,senior .net developer
human resources specialist,0.0928211368,chief gardener,compensation benefits specialist,it manager,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,software developer,education programs coordinator assistant,short term expert eu targeted initiative armenia
flash developer,0.0928790776,software developer,analyst,kurdish language independent contractor,executive director,engineer,social worker,web designer/ programmer,it engineer,senior java developer,senior loan officer
credit services manager,0.0932267223,information program coordinator,analytics manager,international sales manager,medical representative yerevan,hilti subdivision rental center manager,software engineer,product manager personal lending services department,java/php developer,branch manager stepanakert branch,chief specialist
portfolio coordinator socio-economic governance,0.0939220117,head sales quality control group,chief accountant,medical representative nagorno karabakh,device portfolio merchandising coordinator,senior expert,transportation department manager,waiter/ waitress,assistant director translator/ interpreter,php programmer,human resources organizational development manager
php/ mysql developer,0.0940958341,nss engineer,treasurer,junior legal assistant,showrooms salesman,qa engineer,community health education technical coordinator pre-service,accountant,teaching english foreign language tefl technical,internal audit manager,office manager
water market project specialist,0.0941537748,designer,team lead/ senior java software developer,head fraud management revenue assurance division,hr representative ii,project accountant,head investors relation,credit officer,administrative assistant,senior project officer directorate general democracy,brand operations manager
lead monitoring evaluation specialist,0.0945593603,director restaurant complex,lawyer,`` promoting rights children adolescents mental health,post financial service officer,medical monitor,base senior c/c++ developer,marketing manager,php developer,electrical engineer,software engineer
financial sector development analyst,0.0946173011,accountant assistant/ cashier,accountant,legal expert,commercial director,system administrator/ general specialist,business consultant,telesales specialist,loss prevention attendant,environmental education program manager,programmer
lighting technician,0.0946752419,community health education technical coordinator pre-service,teaching english foreign language tefl technical,sales/ medical representative,specialist distance banking,medical doctor,customs specialist,construction director,lawyer,head analytical department,announcements moderator
software development testing senior specialist,0.0951387682,c++/ c senior developer,senior accountant/ systems administrator,database content management system developer,teller zvartnots branch,teller intern,civil engineer,ux designer,software developer,asp.net developer,deputy director operations
marketing manager,0.0957761168,national coordinator,assets liabilities management unit specialist,procurement officer,executive/ administrative assistant,open enrollment advisor/ specialist,legal advisor,procurement manager,construction trainer,legal consultant/ lawyer,product manager
senior legal counsel,0.0961237615,senior .net developer,c software developer,manager accounting department,senior r d engineer,financial/ administrative manager,territorial direction customer service sales manager,medical representative,assistant accounting department,specialist financial reporting department,head retail banking wealth management rbwm
language administrative assistant,0.0961817023,marketing specialist,director restaurant complex,ict specialist,senior accountant,software qa engineer,office administrator,software engineer,housekeeper/ babysitter,non-linear editor,internet pr specialist
java developer,0.0964134654,senior ios developer,customer service representative,development assistant,graduate trainee it department,key account manager,field team leader,network administrator,draftsman,senior database engineer,sales agent
seo specialist,0.096529347,manager accounting department,head personnel training division,operations manager,tax intern,head credit monitoring division,head sales service department,sales manager,it director,social expert/ project officer,procurement officer
freight forwarding coordinator,0.0967611101,chief financial officer,head internal control,executive director,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,regional retail executive,programmer,software developer
methodologist,0.0968769917,receptionist/ administrative assistant,software developer,project manager,russian language translator/ interpreter,teller,senior accountant,senior loan officer,quality support specialist,insurance specialist,public affairs communication manager
senior php developer,0.0969349325,key account manager,senior java developer,hrazdan credit specialist,loan officer,national professional officer no-b,specialist legal department,junior database developer,claims specialist,driver,mid-level database developer
editor/ translator english language,0.0973984588,head corporate key clients state bodies cooperation group,procurement specialist,customer service representative,development assistant,secretary,air-conditioning system technician,communication supervisor,import logistics manager,grant specialist,administrative/ executive assistant
executive director,0.0977461035,pr manager,head human resources department,expert logistics coordinator,seller,accountant,banking services manager vanadzor branch,environmental education program manager,intern legal advisory services department,sales coordinator,department manager
senior etl informatica developer,0.0984413929,transformational development facilitator gyumri,mill crusher conveyer operator,java developer,radio network planning engineer,medical representative,programmer,mobile eye hospital meh assistant,finance adminstration manager,corporate finance unit senior specialist,trust management unit senior specialist
designer,0.0993684454,driver,user interface ui technology development specialist,driver/ office assistant,investment specialist,operation maintenance o m tools engineer,programmer,head mis unit,information security administrator network security cba,sales manager,credit manager branch
marketing manager,0.099484327,php developer,telecommunications engineer,ux designer,intern world vision south caucasus communications department,sociologist,store manager,project coordinator,medical representative,c .net developer,civil society program officer
sales consultant,0.0998899125,marketing specialist,office manager,artist designer,advertising media specialist,driver,grants manager assistant-intern,accountant,medical representative gyumri,construction supervision engineer,receptionist
pmu director,0.0999478533,alumni coordinator,it capacity building assistant,linux administrator/ developer,engineer quality assurance department,c++ developer,assistant ccm secretariat ics4/g4*,java developer,marketing specialist,administrative assistant,credit services manager
techincal writer,0.100295498,senior accountant/ systems administrator,graphic designer,industrial/ graphic designer,lawyer,finance controller,deputy commercial director,software developer,web developer,civil engineer,accountant
chief financial officer cfo,0.1009328466,system administrator leading specialist,delivery project manager,salesman,base station transport administration engineer,outsourcing accountant,civil engineer-irrigation,project engineer,promotion manager,web ui developer,intern/ system administrator
asp.net senior web developer,0.1012804913,php developer,telecommunications engineer,project coordinator,medical representative,c .net developer,senior financial analyst,experienced it specialist/ information security officer,java software developer,store manager,ux designer
senior sales specialist,0.1015701953,chief party,php developer,advanced .net developer,financial analyst,communications associate,consultant,general manger,financial management specialist,project coordinator,head corporate key clients state bodies cooperation group
c++ engineer,0.1017440176,synthesis chemist,php developer,contractor/ intern,sociologist,loan specialist,software engineer,telecommunications engineer,supply manager,project coordinator,medical representative
senior backend engineer,0.1017440176,php developer,telecommunications engineer,senior credit officer,chief party,public relations pr specialist,junior lawyer,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative
night auditor,0.1022654847,sales coordinator,atlas associate,international project coordinator,procurement specialist,kotayk childrens village programme director,senior analyst mobile network troubleshooting,finance analyst,server specialist,web engineer,c developer
medical representative,0.1022654847,android developer,manager accounting department,legal counsel,software qa engineer,credit officer,head mechanics,head personnel training division,marketing expert fixed business convergent solutions,engineer martuni,chief security
lead software engineer deep submicron department,0.1023813662,frontend developer,electrician electronics engineer,rural development specialist,small medium business programs developer,program officer,customs broker,c++ software developer linux,senior teller vanadzor branch,human resources manager,electronics/ plc engineer
chief credit officer,0.1028448925,php developer,senior financial analyst,project coordinator,medical representative,c .net developer,test center administrator,head foreign languages chair,product manager,qa engineer deep submicron department,senior software/ platform engineer
international commercial lawyer,0.1031925372,sales representative,production operator,assistant director,`` migration development '' project manager,qa engineer,java software developer,qa automation engineer,head personnel training division,project manager,accountant
marketing sales manager,0.103250478,international project coordinator,lawyer,senior java developer,head cash operations unit customer service division,senior programme assistant,head internal audit department,business loans department leading specialist,department manager,credit officer,assets liabilities management unit specialist
engineer/ project manager,0.1034822411,senior software engineer mts-4,head waiter/ waitress,lawyer,internal auditor,sme banking unit credit specialist,credit officer,technical support engineer,chief accountant,web designer,lawyer
finance administration manager,0.1049307608,project manager,head credit monitoring division,legal advisor,project team assistant,head personnel training division,production operator,chief financial officer,credit officer,web designer,national coordinator
frontend developer,0.1052204647,project coordinator,executive director,procurement specialist,sales specialist,manager accounting department,qa engineer,vocational training expert technical assistance mission,secretary/ administrative assistant,senior r d engineer,senior accountant
sisian adp manager,0.1054522278,intern/ system administrator,software developer,sector coordinator,head waiter/ waitress,senior software engineer,ready product warehouse shift head,corporate support manager,community nurse,user experience specialist,team lead business enabling environment
insurance agents,0.1063792804,public relations pr specialist,hr specialist,receptionist/ office administrator,native persian speaking manager,property plant equipment manager/ senior caretaker staff/,mobile application developer,relationship manager large enterprise finance unit,senior financial analyst,deputy chief accountant financial reporting,senior software testing engineer
project manager,0.1066689843,customer service representative,development assistant,procurement specialist,sales agent,test center administrator,head foreign languages chair,product manager,qa engineer deep submicron department,senior software/ platform engineer,qa engineer
project manager,0.1067269251,software engineer,developer,iphone application developer,senior php developer,medical representative yerevan,monitoring project officer,it service desk help desk specialist,sales assistant,senior javascript developer,assistant chief financial officer
development consultant,0.1072483921,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist,management consultant,tester/ quality assurance engineer,chief accountant,c .net senior developer/ team leader,sites accountant,chief specialist department financial market operations
sales operation manager,0.1077698592,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,php developer,head internal control,financial manager,business analytics specialist,country director,compensation benefits specialist
c senior software developer,0.1078278,advertising manager,legal counsel,development director,showrooms salesman,qa engineer,teaching english foreign language tefl technical,head mechanics,head fraud management revenue assurance division,post-harvest processing marketing advisor,audit manager
senior web developer,0.108638971,finance administration manager,senior qa engineer,international sales manager,administrative/ communications assistant,public funding adviser,loss prevention/ security senior supervisor,export manager,interviewer,analyst,sales manager/ seller
c/ c++ software engineer,0.109160438,project accountant,teaching english foreign language tefl technical,telecommunications engineer,deputy insurance executive director,senior java developer,hr manager,java developer,loan/credit provider monitoring specialist,assistant forest coordinator/ local expert,pediatric nurse research study
administrative assistant/ receptionist,0.1097977867,senior r d engineer,key account manager,chief cook,assistant accountant,.net developer,head corporate key clients state bodies cooperation group,head operational unit kapan branch,hr/ admin intern,procurement specialist,secretary/ administrative assistant
head sales service department,0.1102033722,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,programme assistant,.net software developer,communications executive/ pr specialist,php/ mysql developer,project evaluation consultant,credit analyst
assistant general producer,0.1102613129,senior financial analyst,legal advisor,credit officer /individual business crediting/,market research analyst,sampling agent,accountant,php developer,public relations pr specialist,marketing/ pr specialist,head medical representatives
english language translator/ interpreter,0.11078278,tourism specialist,accountant,senior java developer,marketing business intelligence geomarketing coordinator,visual display manager,loan programs manager/ coordinator,senior frontend developer,software qa engineer,asp.net developer,office administrator/ secretary
branch manager,0.11078278,specialist customer transactions formalization division,manager accounting department,contract management specialist,senior software engineer/ gui architect user interface flows,senior information security engineer,administrative intern,lead software engineer design silicon division,hr administrator,c developer,cardholder relationship management division specialist card
sales customer care specialist mobile services center,0.1111883655,unix systems administrator,risk management specialist,f b supervisor,it service desk administrator,production manager,lawyer,technical marketing intern/ contractor,hardware engineer,sales representative,monitoring evaluation trainee
project coordinator,0.1118836549,assistant director,personal assistant ceo,project manager,export/ import manager,social worker disability resource center spitak,marketing assistant,legal assistant,qa engineer deep submicron department,`` migration development '' project manager,lawyer
pos terminals servicing division specialist card center,0.1121733588,qa engineer,customer service representative,development assistant,procurement specialist,head fraud management revenue assurance division,sales agent,head corporate key clients state bodies cooperation group,junior database developer,secretary,air-conditioning system technician
legal adviser,0.1122892404,designer,it specialist,hr representative ii,team lead/ senior java software developer,director,medical representative yerevan,credit officer,ios developer,apprentice intern web developer,java software developer
lab supervisor,0.1123471812,food beverage supervisor,oracle database administrator,php developer lycos hosting,financial products specialist,administrative assistant/ receptionist,credit specialist artashat,associate economics analyst,capex accountant,chief accountant,head operational support division
information assistant,0.1125789443,head office/ program coordinator,mobile access networks planning optimization engineer,php developer,telecommunications engineer,security clerk,marketing manager,accountant,receptionist/ admin assistant,administrative assistant,billing specialist
leading specialist information telecommunication department,0.1126368851,php developer,supply manager,telecommunications engineer,head fraud management revenue assurance division,senior software engineer,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,mobile access networks planning optimization engineer,driver
marketing manager,0.1127527667,seller,draftsman,senior database engineer,driver,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,programme assistant,php developer,procurement specialist
category manager,0.1128686482,pre-seller,network administrator,programme assistant,java developer,brand manager,sales promotion banking guarantees division specialist,chief financial officer,administrative assistant,junior test engineer,windows device drivers senior engineer
internal audit member,0.1129845298,cardholder relationship management division specialist card,field coordinator tass test,lawyer,head program preparation division,vice-president mergers acquisitions unit,head personnel training division,international relations coordinator,researcher country assessment health insurance aspects,logistics/ freight forwarding manager,programmer
network administrator,0.1130424706,credit officer,technical support engineer,chief accountant,business advisor/ dried food specialist,asp.net software developers,project support officer,merchandising supervisor,qa manager,public affairs communications specialist,store director
c .net developer,0.1132162929,head personnel training division,economic development specialist,manager accounting department,english language instructor,sales manager,it director,agriculturist,project manager,assistant general director,cardholder relationship management division specialist card
data quality developer,0.1132742337,finance administration manager,project accountant,administrator information networks active directory,branch manager stepanakert branch,chief specialist,telecom technical installer,senior qa engineer,assistant markets meghri project,client manager,ui/ ux developer
forex operations subdivision 1-st class specialist financial,0.1133901153,project accountant,php developer,telecommunications engineer,sociologist,teaching english foreign language tefl technical,pediatric nurse research study,it specialist,administrative assistant,radio electronic engineer,software quality assurance engineer
sales manager,0.1135639377,qa engineer,key account manager,software engineer,head mechanics,sales agent,customer service representative,development assistant,secretary,air-conditioning system technician,communication supervisor
data quality developer,0.1136218784,mobile access networks planning optimization engineer,test center administrator,head foreign languages chair,product manager,qa engineer deep submicron department,senior software/ platform engineer,public relations pr specialist,senior financial analyst,customer service representative,development assistant
monitor trial monitoring project,0.1141433455,administrator/ coordinator,chief financial officer,postal financial services pfs operations department head,local expert/journalist human rights defender 's office,photoshop graphic web designer,customer service representative kapan branch,software developer,regional retail executive,system/ db administrator,frontend developer
responsible client service,0.1146068718,architect,receptionist/ administrative assistant,financial analyst,sales manager,c developer,developer,iphone application developer,medical representative,program coordinator,sales coordinator
business/ finance specialist,0.1146648126,medical representative nagorno karabakh,finance officer/ cashier,designer,yerevan postal network head,marketing pr manager,driver,user interface ui technology development specialist,driver/ office assistant,investment specialist,operation maintenance o m tools engineer
armavir branch manager,0.1146648126,expert logistics coordinator,pr manager,production manager,scrum master,project assistant,assistant director,lawyer,head personnel training division,chief accountant,qa engineer
lawyer,0.1148965757,shop/ salon assistant,senior qa analyst/ functional testing,senior android developer,administrative assistant,head computing facilities operations maintenance division,iphone application developer,service specialist,specialist-teller,sales marketing manager,member internal audit
support testing engineer,0.1150124573,administrative assistant,interviewers market research 6 positions short term,finance controller,parts marketing specialist,media specialist,secretary/ administrative assistant,accountant,senior qa engineer,information assistant,audit assistant
administrative secretary,0.1151283388,key account manager,head mechanics,marketing expert fixed business convergent solutions,manager accounting department,head operational unit kapan branch,hr/ admin intern,hiv/aids prevention among lgbt officer,branch corporate loan officer,technical support engineer,copper mining expert
chief compliance officer,0.1155339243,wpf developer,senior php developer,economist researcher economic research department,health manager re-advertisement,executive secretary,software development director,media department employee,marketing assistant,credit specialist,executive director
mutual funds unit senior specialist,0.1159974506,`` migration development '' project manager,lawyer,monitoring evaluation trainee,office manager,publicity agent,`` kapan '' branch manager,layout design engineer ii/ asic,it specialist,head personnel department,trade prosperity officer
qa automation engineer,0.1159974506,head personnel training division,head credit monitoring division,project manager,legal officer,designer,operations manager,tax intern,team lead/ senior java software developer,head reporting unit,production operator
chief accountant,0.1165189177,designer,brand operations manager,android application developer,it specialist,apprentice intern web developer,java software developer,medical representative yerevan,graphic designer,hr representative ii,country manager
director sales marketing,0.1168665624,apprentice intern web developer,java software developer,head personnel training division,design/ estimation engineer,expert logistics coordinator,economic development specialist,software qa engineer,credit officer,customer service representative,sales manager
methodologist consumer protection financial education centre,0.1173880294,qa engineer,community health education technical coordinator pre-service,teaching english foreign language tefl technical,manager accounting department,telecommunications engineer,showrooms salesman,head mechanics,php developer,legal counsel,branch intern
advocacy program assistant,0.1174459702,showrooms salesman,language assistant/ translator rta,lead software engineer design silicon division,specialist customer transactions formalization division,import logistics manager,grant specialist,customer service representative,development assistant,head mechanics,public relations pr specialist
intern,0.1175618518,manager traffic/ account,junior business consultant,manager accounting department,senior qa engineer,brand manager,software engineer/ qa,qa engineer,teaching english foreign language tefl technical,community health education technical coordinator pre-service,programmer
head retail lending division,0.1180833188,assistant director,head personnel training division,project manager,lawyer,production operator,monitoring evaluation trainee,office manager,`` migration development '' project manager,short-term consultant cso organizational development,electrical engineer
ios developer,0.1181992004,social worker disability resource center spitak,chief accountant,`` migration development '' project manager,community health education technical coordinator pre-service,legal counsel,technical manager,monitoring evaluation specialist,monitoring evaluation trainee,teaching english foreign language tefl technical,newswriter
design monitoring evaluation dme officer `` caring equality '' project,0.1187786083,expert international law,php developer,.net developer,back office manager,java developer,mill crusher conveyer operator,car administrative coordinator,software backend developer,senior qa engineer,grant manager
executive director,0.1189524306,chief gardener,product development agent,customer care manager,c .net developer,assistant category manager,market research intern,executive director center nuclear medicine,c/c++ software developer,sales director,compensation benefits specialist
showrooms salesman,0.1190103714,senior accountant/ systems administrator,project manager,head credit monitoring division,project assistant,head personnel training division,statistical programmer,database content management system developer,teller zvartnots branch,researcher country assessment health insurance aspects,logistics/ freight forwarding manager
responsible professional trainings,0.1190103714,chief accountant,pos point sales developer agent,asp.net developer,head unit payment card sales control analysis,experienced audit consultant,application manager,credit officer,data base software junior engineer,banking specialist,young economists possessing research potential skills
expert,0.1197056608,country manager,import purchasing manager,office manager/ secretary,head business analysis group,information program coordinator,analytics manager,manager post-harvest processing marketing component,software developer,storekeeper,web developer
persian language independent contractor media monitoring,0.1197636016,nss engineer,treasurer,point sales developer agent gavar,junior legal assistant,barman,analyst,sales/ medical representative,community health education technical coordinator pre-service,local consultant private sector mapping database setup,assistant awp annual work plan
procurement officer,0.1199953647,website editor,economic development specialist,designer,loan officer kajaran branch retail banking unit,business advisor/ specialist,financial advisor,programmer,contractor/ intern,sales agent,senior .net developer
mobile ict consultant,0.1202850687,corporate sales manager,marketing manager,chief accountant,junior analog design engineer,lawyer,customer support engineer,office manager/ engineer,qa engineer deep submicron department,regional retail executive,credit officer
tester/ quality assurance engineer,0.1208644765,driver,layout design engineer ii/ asic,key account manager,head personnel training division,research development engineer,programmer,it specialist,construction business development marketing officer,technical manager,c software developer
assistant general director,0.1209803581,apprentice intern web developer,java software developer,software engineer/ qa,economic development specialist,head personnel training division,secretary/ administrative assistant,senior c++ developer,it reporting engineer,customer service representative,sales manager
creative writer blogs,0.1213859436,head reporting unit,chief financial officer,system/ db administrator,administrator/ coordinator,postal financial services pfs operations department head,local expert/journalist human rights defender 's office,frontend developer,software developer,photoshop graphic web designer,customer service representative kapan branch
programmer,0.1216756475,marketing manager,java developer,procurement specialist,analyst programme 2006 work study program,pr media specialist,it manager,web content manager,qa engineer,dba/ ms sql developer,specialist financial reporting department
project coordinator,0.1219653514,head dealing operations department,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,interviewer statistics department,announcements moderator,head office/ program coordinator,manager accounting department,software developer
social safeguards environmental officer,0.1221971145,telecommunications engineer,public relations pr specialist,secretary,air-conditioning system technician,communication supervisor,senior financial analyst,showrooms salesman,procurement manager,medical representative shirak,receptionist/ office administrator
product support manager,0.1226027,specialist legal department,head personnel training division,loan officer kajaran branch retail banking unit,head operational unit kapan branch,hr/ admin intern,key account manager,head human resources department,expert logistics coordinator,national professional officer no-b,piu value chain development coordinator
pharmacist,0.1228344632,procurement manager,medical representative shirak,data security manager,qa specialist,website developer,web developer,senior software engineer user 's interface flows department,senior research development engineer,computer network administrator ii information communication,junior qa specialist
public education director,0.1234718118,tavush area development program adp manager,communication/ pr officer,social worker,graphic designer,sports coordinator,marketing pr specialist,marketing manager,software developer,short-term consultant e-commerce,medical advisor
social assistance/ social work expert,0.1237615157,lawyer,marketing manager,analyst,assistant director,program support assistant,administrative assistant,android developer,cardholder relationship management division specialist card,marketing pr specialist,java developer
quality training consultant,0.1238194565,telecommunications engineer,qa engineer,project accountant,associate operations officer/operations officer,business consultant,mobile application manager,chief accountant,internal communication specialist,community health education technical coordinator pre-service,secretary
senior front-end developer,0.1238194565,senior r d engineer,c software developer,specialist financial reporting department,manager accounting department,chief cook,assistant accountant,.net developer,project team assistant,researcher,`` kapan '' branch manager
commercial director,0.1239353381,head reporting unit,marketing manager,chauffeur fsn-3 fp-bb*,production operator,restaurant manager,internal audit manager,senior accountant/ systems administrator,head credit monitoring division,chief financial officer,community health education technical coordinator pre-service
assistant director/ translator,0.124225042,senior java software developer,architectural designer,office manager,head commercial lending department,sales consultant,merchandiser gegharkunik marz,accountant,construction project technical supervisor,head commercial department,transmission expert
mechanical engineer,0.1244568051,social expert/ project officer,senior accountant/ systems administrator,project manager,head credit monitoring division,project team assistant,warehouse shift supervisor,database content management system developer,teller zvartnots branch,restaurant manager,cardholder relationship management division specialist card
retail operations director,0.1246306275,php developer,marketing manager,store manager,programme assistant,ux designer,intern world vision south caucasus communications department,office manager,translator,affiliate relationships manager,accountant
head personnel training division,0.125036213,native english language instructor,senior software developer c++/ c,software development manager,accountant,pricing tariffs coordinator,php/ mysql web developers/ programmers,accountant,associate,senior developer .net/ c asp.net/ ms sql server,qualitative experts/ field researchers
java software developer,0.1253259169,manager accounting department,brand manager,teaching english foreign language tefl technical,data quality developer,qa engineer,community health education technical coordinator pre-service,software engineer/ qa,head mechanics,client solutions engineer,financial/ administrative manager
